time,result
2024-12-10 19:11:41,win
2024-12-10 19:12:41,win
2024-12-10 19:13:38,lose
2024-12-10 19:15:03,lose
2024-12-10 19:17:41,lose
2024-12-10 19:18:41,win
2024-12-10 19:19:41,win
2024-12-10 19:21:41,lose
2024-12-10 19:22:41,win
2024-12-10 19:24:41,lose
2024-12-10 19:25:41,win
2024-12-10 19:27:41,lose
2024-12-10 19:28:41,lose
2024-12-10 19:30:41,win
2024-12-10 19:31:41,lose
2024-12-10 19:33:41,lose
2024-12-10 19:34:41,lose
2024-12-10 19:36:41,win
2024-12-10 19:37:41,win
2024-12-10 19:39:41,win
2024-12-10 19:40:41,win
2024-12-10 19:42:41,lose
2024-12-10 19:43:41,win
2024-12-10 19:45:41,lose
2024-12-10 19:46:41,lose
2024-12-10 19:48:41,win
2024-12-10 19:49:41,win
2024-12-10 19:51:41,lose
2024-12-10 19:52:41,win
2024-12-10 19:54:41,win
2024-12-10 19:55:41,lose
2024-12-10 19:57:41,win
2024-12-10 19:58:41,win
2024-12-10 20:00:41,lose
2024-12-10 20:01:41,win
2024-12-10 20:03:41,win
2024-12-10 20:04:41,win
2024-12-10 20:06:41,win
2024-12-10 20:07:41,lose
2024-12-10 20:09:41,lose
2024-12-10 20:10:41,lose
2024-12-10 20:12:41,lose
2024-12-10 20:13:41,win
2024-12-10 20:15:41,win
2024-12-10 20:16:41,lose
2024-12-10 20:18:41,win
2024-12-10 20:19:41,win
2024-12-10 20:21:41,win
2024-12-10 20:22:41,win
2024-12-10 20:24:41,lose
2024-12-10 20:25:41,lose
2024-12-10 20:27:41,lose
2024-12-10 20:28:41,lose
2024-12-10 20:30:41,win
2024-12-10 20:31:41,lose
2024-12-10 20:33:41,win
2024-12-10 20:34:41,win
2024-12-10 20:36:41,lose
2024-12-10 20:37:41,win
2024-12-10 20:39:41,win
2024-12-10 20:40:41,win
2024-12-10 20:42:41,lose
2024-12-10 20:43:41,win
2024-12-10 20:45:41,win
2024-12-10 20:46:41,win
2024-12-10 20:48:41,lose
2024-12-10 20:49:41,lose
2024-12-10 20:51:41,win
2024-12-10 20:52:41,lose
2024-12-10 20:54:41,lose
2024-12-10 20:55:41,lose
2024-12-10 20:57:41,win
2024-12-10 20:58:41,win
2024-12-10 21:00:41,win
2024-12-10 21:01:41,lose
2024-12-10 21:03:41,lose
2024-12-10 21:04:41,win
2024-12-10 21:06:41,lose
2024-12-10 21:07:41,win
2024-12-10 21:09:41,win
2024-12-10 21:10:41,win
2024-12-10 21:12:41,lose
2024-12-10 21:13:41,lose
2024-12-10 21:15:41,win
2024-12-10 21:16:41,win
2024-12-10 21:18:41,win
2024-12-10 21:19:41,win
2024-12-10 21:21:41,win
2024-12-10 21:22:41,lose
2024-12-10 21:24:41,lose
2024-12-10 21:25:41,win
2024-12-10 21:27:41,lose
