drawTime,result
989663760000,6
989663850000,6
989663940000,0
989664030000,1
989664120000,4
989664210000,3
989664300000,6
989664390000,9
989664480000,2
989664570000,8
989664660000,3
989664750000,6
989664840000,9
989664930000,0
989665020000,1
989665110000,7
989665200000,5
989665290000,8
989665380000,0
989665470000,4
989665560000,0
989665650000,5
989665740000,2
989665830000,8
989665920000,1
989666010000,5
989666100000,9
989666190000,9
989666280000,3
989666370000,4
989666460000,4
989666550000,8
989666640000,9
989666730000,3
989666820000,7
989666910000,3
989667000000,8
989667090000,4
989667180000,7
989667270000,7
989667360000,9
989667450000,1
989667540000,7
989667630000,9
989667720000,6
989667810000,7
989667900000,5
989667990000,8
989668080000,9
989668170000,3
989668260000,6
989668350000,7
989668440000,3
989668530000,1
989668620000,2
989668710000,7
989668800000,4
989668890000,9
989668980000,3
989669070000,5
989669160000,7
989669250000,5
989669340000,6
989669430000,6
989669520000,5
989669610000,3
989669700000,3
989669790000,1
989669880000,8
989669970000,0
989670060000,8
989670150000,6
989670240000,8
989670330000,8
989670420000,2
989670510000,0
989670600000,1
989670690000,1
989670780000,9
989670870000,9
989670960000,2
989671050000,5
989671140000,5
989671230000,7
989671320000,8
989671410000,5
989671500000,3
989671590000,0
989671680000,2
989671770000,5
989671860000,9
989671950000,1
989672040000,4
989672130000,4
989672220000,4
989672310000,5
989672400000,4
989672490000,4
989672580000,3
989672670000,3
989672760000,8
989672850000,2
989672940000,4
989673030000,2
989673120000,2
989673210000,3
989673300000,5
989673390000,1
989673480000,3
989673570000,1
989673660000,0
989673750000,9
989673840000,0
989673930000,2
989674020000,7
989674110000,3
989674200000,6
989674290000,1
989674380000,8
989674470000,4
989674560000,9
989674650000,1
989674740000,8
989674830000,8
989674920000,9
989675010000,3
989675100000,6
989675190000,0
989675280000,9
989675370000,3
989675460000,6
989675550000,6
989675640000,5
989675730000,3
989675910000,1
989676000000,2
989676090000,3
989676180000,0
989676270000,4
989676360000,6
989676450000,4
989676540000,4
989676630000,6
989676720000,6
989676810000,1
989676900000,5
989676990000,1
989677080000,3
989677170000,0
989677260000,7
989677350000,8
989677440000,3
989677530000,7
989677620000,3
989677710000,0
989677800000,4
989677890000,8
989677980000,9
989678070000,1
989678160000,1
989678250000,7
989678340000,9
989678430000,1
989678520000,5
989678610000,9
989678700000,0
989678790000,2
989678880000,5
989678970000,7
989679060000,5
989679150000,0
989679240000,6
989679330000,7
989679420000,9
989679510000,9
989679600000,1
989679690000,2
989679780000,2
989679870000,3
989679960000,6
989680050000,6
989680140000,6
989680230000,0
989680320000,8
989680410000,2
989680500000,1
989680590000,0
989680680000,6
989680770000,3
989680860000,2
989680950000,3
989681040000,4
989681130000,5
989681220000,9
989681310000,4
989681400000,5
989681490000,7
989681580000,9
989681670000,6
989681760000,4
989681850000,7
989681940000,0
989682030000,7
989682120000,0
989682210000,6
989682300000,9
989682390000,7
989682480000,6
989682570000,9
989682660000,7
989682750000,9
989682840000,7
989682930000,0
989683020000,7
989683110000,3
989683200000,7
989683290000,5
989683380000,3
989683470000,3
989683560000,6
989683650000,8
989683740000,4
989683830000,8
989683920000,2
989684010000,0
989684100000,9
989684190000,7
989684280000,4
989684370000,1
989684460000,4
989684550000,5
989684640000,5
989684730000,9
989684820000,3
989684910000,0
989685090000,9
989685180000,3
989685270000,7
989685360000,2
989685450000,4
989685540000,1
989685630000,9
989685720000,6
989685810000,8
989685900000,8
989685990000,9
989686080000,3
989686170000,2
989686260000,7
989686350000,9
989686440000,1
989686530000,7
989686620000,8
989686710000,5
989686800000,7
989686890000,4
989686980000,4
989687070000,4
989687250000,8
989687340000,0
989687430000,6
989687520000,0
989687610000,2
989687700000,8
989687790000,5
989687880000,2
989687970000,5
989688060000,3
989688150000,8
989688240000,2
989688330000,3
989688420000,1
989688510000,1
989688600000,1
989688690000,5
989688780000,5
989688870000,1
989688960000,4
989689050000,0
989689140000,0
989689230000,9
989689320000,8
989689410000,5
989689500000,9
989689590000,7
989689680000,4
989689770000,1
989689860000,9
989689950000,9
989690040000,8
989690130000,9
989690220000,0
989690310000,4
989690400000,6
989690490000,6
989690580000,7
989690670000,5
989690760000,5
989690850000,9
989690940000,9
989691030000,7
989691120000,0
989691210000,8
989691300000,6
989691390000,3
989691480000,0
989691570000,4
989691660000,9
989691750000,3
989691840000,6
989691930000,2
989692020000,7
989692110000,3
992284200000,8
992284290000,9
992284380000,8
992284470000,4
992284560000,6
992284650000,1
992284740000,4
992284830000,3
992284920000,2
992285010000,3
992285100000,3
992285190000,9
992285280000,9
992285370000,4
992285460000,8
992285550000,0
992285640000,3
992285730000,4
992285820000,8
992285910000,2
992286000000,2
992286090000,0
992286180000,9
992286270000,5
992286360000,0
992286450000,2
992286540000,0
992286630000,1
992286720000,5
992286810000,3
992286900000,5
992286990000,2
992287080000,6
992287170000,2
992287260000,6
992287350000,7
992287530000,5
992287620000,8
992287710000,8
992287800000,8
992287890000,2
992287980000,1
992288070000,8
992288160000,4
992288250000,8
992288340000,4
992288430000,0
992288520000,6
992288610000,1
992288700000,1
992288790000,9
992288880000,2
992288970000,6
992289060000,3
992289150000,2
992289240000,1
992289330000,9
992289420000,4
992289510000,0
992289600000,5
992289690000,0
992289780000,9
992289870000,8
992289960000,1
992290050000,9
992290140000,9
992290230000,5
992290320000,9
992290410000,5
992290500000,2
992290590000,5
992290680000,3
992290770000,8
992290860000,0
992290950000,2
992291040000,2
992291130000,8
992291220000,6
992291310000,0
992291400000,0
992291490000,0
992291580000,7
992291670000,1
992291760000,2
992291850000,0
992291940000,3
992292030000,3
992292120000,7
992292210000,5
992292300000,6
992292390000,7
992292480000,5
992292570000,2
992292660000,0
992292750000,6
992292840000,3
992292930000,7
992293020000,0
992293110000,4
992293200000,8
992293290000,0
992293380000,3
992293470000,1
992293560000,2
992293650000,0
992293740000,1
992293830000,1
992293920000,4
992294010000,8
992294100000,6
992294190000,5
992294280000,4
992294370000,3
992294460000,5
992294550000,5
992294640000,5
992294730000,2
992294820000,1
992294910000,0
992295000000,4
992295090000,5
992295180000,1
992295270000,3
992295360000,5
992295450000,4
992295540000,2
992295630000,9
992295720000,7
992295810000,5
992295900000,2
992295990000,1
992296080000,6
992296170000,4
992296260000,3
992296350000,8
992296440000,4
992296530000,8
992296620000,3
992296710000,1
992296800000,2
992296890000,2
992296980000,9
992297070000,9
992297160000,2
992297250000,2
992297340000,7
992297430000,0
992297520000,9
992297610000,3
992297700000,4
992297790000,6
992297880000,5
992297970000,3
992298060000,8
992298150000,2
992298240000,4
992298330000,5
992298420000,2
992298510000,3
992298600000,9
992298690000,1
992298780000,4
992298870000,3
992298960000,5
992299050000,3
992299140000,1
992299230000,5
992299320000,5
992299410000,6
992299500000,9
992299590000,4
992299680000,5
992299770000,6
992299860000,5
992299950000,0
992300040000,9
992300130000,9
992300220000,1
992300310000,7
992300400000,6
992300490000,3
992300580000,1
992300670000,8
992300760000,5
992300850000,5
992300940000,9
992301030000,8
992301120000,9
992301210000,8
992301300000,0
992301390000,1
992301480000,8
992301570000,5
992301660000,2
992301750000,3
992301840000,4
992301930000,5
992302020000,3
992302110000,2
992302200000,7
992302290000,2
992302380000,0
992302470000,0
992302560000,3
992302650000,9
992302740000,8
992302830000,1
992302920000,5
992303010000,1
992303100000,2
992303190000,7
992303280000,2
992303370000,3
992303460000,1
992303550000,8
992303640000,7
992303730000,7
992303820000,8
992303910000,9
992304000000,9
992304090000,0
992304180000,8
992304270000,4
992304360000,6
992304450000,6
992304540000,5
992304630000,8
992304720000,3
992304810000,7
992304900000,8
992304990000,2
992305080000,2
992305170000,3
992305260000,9
992305350000,3
992305440000,1
992305530000,5
992305620000,6
992305710000,5
992305800000,8
992305890000,4
992305980000,4
992306070000,6
992306160000,9
992306250000,7
992306340000,8
